batch,order,live_url,live_title,level,current_words,target_words,words_to_add,current_internal_links,links_to_add_count,links_to_add,sections_to_add_count,sections_to_add,has_faq,has_schema,planned_role
"B02","51","/ar/services/ai-agents","ما هو وكيل الذكاء الاصطناعي؟ شرح عملي لأصحاب الأعمال","Pillar","1210","2800","1590","30","9","/ar/blog/generative-ai-business/ (anchor: الذكاء الاصطناعي التوليدي للشركات) | /ar/blog/ai-by-industry/ (anchor: الذكاء الاصطناعي للقطاعات) | /ar/blog/gulf-markets/ (anchor: الذكاء الاصطناعي في الخليج) | /ar/blog/chatbot-vs-ai-agent-2/ (anchor: الفرق بين الشات بوت والوكيل الذكي) | /ar/blog/how-agents-decide/ (anchor: كيف يعمل وكيل الذكاء الاصطناعي) | /ar/blog/agentic-ai-explained/ (anchor: الذكاء الاصطناعي الوكيلي) | /ar/blog/do-you-need-ai/ (anchor: هل تحتاج شركتي إلى الذكاء الاصطناعي) | /ar/blog/rpa-vs-ai/ (anchor: الأتمتة والذكاء الاصطناعي الفرق) | /ar/blog/ai-glossary/ (anchor: مصطلحات الذكاء الاصطناعي)","5","ما الفرق بين روبوت المحادثة ووكيل الذكاء الاصطناعي؟ | الذكاء الاصطناعي الوكيلي (Agentic AI): ماذا يعني عملياً لشركتك؟ | متى تحتاج شركتك إلى الذكاء الاصطناعي فعلاً؟ وسبع حالات لا تحتاجه فيها | الأتمتة التقليدية أم الذكاء الاصطناعي؟ اختيار الأداة الصحيحة للمهمة | قاموس مصطلحات الذكاء الاصطناعي لأصحاب الأعمال في الخليج","yes","yes","ما هو وكيل الذكاء الاصطناعي؟ شرح عملي لأصحاب الأعمال"
"B02","66","/services/ai-agents/customer-support","Customer Support Automation with AI: The Complete Implementation Guide","Pillar","1831","2800","969","47","12","/services/ai-chatbot-development/ (anchor: ai chatbot development uae) | /blog/chatbot-training/ (anchor: train chatbot on company data) | /blog/chatbot-platform-comparison/ (anchor: best chatbot platform uae) | /services/custom-gpt-development (anchor: custom gpt development uae) | /blog/chatbot-deflection-rate/ (anchor: chatbot deflection rate) | /blog/automate-tier-1-support/ (anchor: automate tier 1 support) | /blog/ai-human-handoff-design/ (anchor: ai human handoff design) | /blog/after-hours-customer-support-uae/ (anchor: after hours customer support uae) | /blog/customer-service-automation-mistakes/ (anchor: customer service automation mistakes) | /blog/ai-agent-for-zendesk/ (anchor: ai agent for zendesk) | /blog/support-automation-metrics/ (anchor: support automation metrics) | /blog/chatbot-refund-handling/ (anchor: chatbot refund handling)","3","Deflection Rate: The Support Metric Vendors Quote and Buyers Misread | Support Automation Without Making Customers Angry: The Rules | The Refund and Cancellation Conversation: Where Bots Should Stop","yes","yes","Customer Support Automation with AI: The Complete Implementation Guide"
"B03","125","/industries/healthcare","AI Automation for Medical Clinics in the UAE: The Complete Guide","Sub-hub","1795","2200","405","47","16","/industries/ (anchor: ai for business uae) | /industries/dental-clinics/ (anchor: ai for dental clinics dubai) | /industries/aesthetic-clinics/ (anchor: ai for aesthetic clinics dubai) | /blog/medical-clinics-appointment-booking-automation/ (anchor: medical clinics appointment booking automation) | /blog/reduce-no-shows-medical-clinics/ (anchor: reduce no shows medical clinics) | /blog/missed-call-automation-for-medical-clinics/ (anchor: missed call automation for medical clinics) | /blog/whatsapp-automation-for-medical-clinics/ (anchor: whatsapp automation for medical clinics) | /blog/email-triage-automation-medical-clinics/ (anchor: email triage automation medical clinics) | /blog/customer-reactivation-medical-clinics/ (anchor: customer reactivation medical clinics) | /blog/review-management-automation-medical-clinics/ (anchor: review management automation medical clinics) | /blog/complaint-handling-automation-medical-clinics/ (anchor: complaint handling automation medical clinics) | /blog/compliance-automation-medical-clinics/ (anchor: compliance automation medical clinics) | /blog/internal-ai-assistant-medical-clinics/ (anchor: internal ai assistant medical clinics) | /blog/chatbot-vs-voice-agent-medical-clinics/ (anchor: chatbot vs voice agent medical clinics) | /blog/ai-automation-mistakes-medical-clinics/ (anchor: ai automation mistakes medical clinics) | /blog/medical-clinics-software-stack-uae/ (anchor: medical clinics software stack uae)","3","How Medical Clinics Upsell Existing Customers With an AI Agent | Five Ways Medical Clinics Get AI Automation Wrong (and What It Costs Them) | The Software Stack Medical Clinics in the UAE Actually Run, and How AI Plugs Into It","yes","yes","AI Automation for Medical Clinics in the UAE: The Complete Guide"
"B03","129","/industries/retail","AI Automation for E-Commerce Businesses in the UAE: The Complete Guide","Sub-hub","2068","2200","132","48","14","/industries/ (anchor: ai for business uae) | /industries/restaurants/ (anchor: ai for restaurants dubai) | /blog/order-status-automation-ecommerce/ (anchor: order status automation ecommerce) | /blog/whatsapp-automation-for-ecommerce/ (anchor: whatsapp automation for ecommerce) | /blog/complaint-handling-automation-ecommerce/ (anchor: complaint handling automation ecommerce) | /blog/customer-reactivation-ecommerce/ (anchor: customer reactivation ecommerce) | /blog/review-management-automation-ecommerce/ (anchor: review management automation ecommerce) | /blog/social-dm-automation-ecommerce/ (anchor: social dm automation ecommerce) | /blog/inventory-automation-ecommerce/ (anchor: inventory automation ecommerce) | /blog/ai-content-generation-ecommerce/ (anchor: ai content generation ecommerce) | /blog/email-triage-automation-ecommerce/ (anchor: email triage automation ecommerce) | /blog/ecommerce-software-stack-uae/ (anchor: ecommerce software stack uae) | /blog/ai-automation-cost-ecommerce/ (anchor: ai automation cost ecommerce) | /blog/what-to-automate-first-ecommerce/ (anchor: what to automate first ecommerce)","12","How E-Commerce Businesses Stop Answering the Same Status Question Fifty Times a Day | WhatsApp AI Agents for E-Commerce Businesses: The Flows That Actually Convert | How E-Commerce Businesses Triage Complaints in Arabic and English Within Minutes | The Dormant List Every online store Is Sitting On, and How to Work It | Google Review Automation for E-Commerce Businesses: Replies in Arabic and English at Scale | How E-Commerce Businesses Convert Social DMs Into Booked Business | Inventory Alerts and Reorder Automation for E-Commerce Businesses | AI Content and Listing Generation for E-Commerce Businesses | How E-Commerce Businesses Route Customer Emails Automatically to the Right Person | The Software Stack E-Commerce Businesses in the UAE Actually Run, and How AI Plugs Into It | What AI Automation Costs for E-Commerce Businesses in the UAE | The First Three Things E-Commerce Businesses Should Automate (In Order)","yes","yes","AI Automation for E-Commerce Businesses in the UAE: The Complete Guide"
"B03","130","/industries/hospitality","AI Automation for Restaurants in the UAE: The Complete Guide","Sub-hub","2367","2200","0","48","14","/industries/ (anchor: ai for business uae) | /industries/travel-agencies/ (anchor: ai for travel agencies dubai) | /industries/training-institutes/ (anchor: ai for training institutes dubai) | /blog/restaurants-appointment-booking-automation/ (anchor: restaurants appointment booking automation) | /blog/whatsapp-automation-for-restaurants/ (anchor: whatsapp automation for restaurants) | /blog/review-management-automation-restaurants/ (anchor: review management automation restaurants) | /blog/complaint-handling-automation-restaurants/ (anchor: complaint handling automation restaurants) | /blog/social-dm-automation-restaurants/ (anchor: social dm automation restaurants) | /blog/customer-reactivation-restaurants/ (anchor: customer reactivation restaurants) | /blog/reduce-no-shows-restaurants/ (anchor: reduce no shows restaurants) | /blog/ai-content-generation-restaurants/ (anchor: ai content generation restaurants) | /blog/chatbot-vs-voice-agent-restaurants/ (anchor: chatbot vs voice agent restaurants) | /blog/ai-automation-mistakes-restaurants/ (anchor: ai automation mistakes restaurants) | /blog/restaurants-software-stack-uae/ (anchor: restaurants software stack uae)","11","Self-Service Booking for Restaurants & F&B: The AI Agent That Never Puts Anyone on Hold | WhatsApp AI Agents for Restaurants: The Flows That Actually Convert | How Restaurants Keep a 4.8 Rating With AI-Assisted Review Responses | The Escalation Design That Keeps Restaurants & F&B Customers From Walking | Instagram and TikTok DM Automation for Restaurants | How Restaurants Upsell Existing Customers With an AI Agent | No-Show Economics for Restaurants & F&B, and the Automation That Fixes Them | AI Content and Listing Generation for Restaurants | Chatbot, Voice Agent or Workflow Automation: What Restaurants Actually Need First | Five Ways Restaurants Get AI Automation Wrong (and What It Costs Them) | The Software Stack Restaurants in the UAE Actually Run, and How AI Plugs Into It","yes","yes","AI Automation for Restaurants in the UAE: The Complete Guide"
"B05","221","/services/ai-agents/tools","n8n vs Make vs Zapier vs Power Automate: Which One We Deploy and Why","Pillar","2467","2800","333","52","11","/blog/workflow-automation/ (anchor: business workflow automation) | /services/ai-automation/tools/n8n (anchor: n8n business automation) | /blog/integrations-uae-systems/ (anchor: ai integration with erp uae) | /blog/document-automation/ (anchor: ai document automation) | /blog/n8n-vs-make/ (anchor: n8n vs make) | /blog/n8n-vs-zapier/ (anchor: n8n vs zapier) | /blog/make-vs-zapier/ (anchor: make vs zapier) | /blog/power-automate-vs-n8n/ (anchor: power automate vs n8n) | /blog/zapier-alternatives/ (anchor: zapier alternatives) | /blog/best-automation-tools-uae/ (anchor: best automation tools uae) | /blog/open-source-zapier-alternative/ (anchor: open source zapier alternative)","5","n8n vs Zapier: Cost, Control and Where Each One Wins | Make vs Zapier for UAE SMEs | Power Automate vs n8n for Microsoft-Heavy Companies | Zapier Alternatives That Actually Work at Scale | Pipedream, Activepieces and the Open-Source Automation Field","yes","yes","n8n vs Make vs Zapier vs Power Automate: Which One We Deploy and Why"
"B16","763","/industries/marketing","AI Automation for Marketing Agencies in the UAE: The Complete Guide","Sub-hub","1953","2200","247","47","15","/industries/ (anchor: ai for business uae) | /industries/it-msp/ (anchor: ai for it companies uae) | /industries/facilities-management/ (anchor: ai for facilities management uae) | /industries/cleaning-services/ (anchor: ai for cleaning companies dubai) | /blog/ai-lead-qualification-for-marketing-agencies/ (anchor: ai lead qualification for marketing agencies) | /blog/automated-reporting-marketing-agencies/ (anchor: automated reporting marketing agencies) | /blog/ai-content-generation-marketing-agencies/ (anchor: ai content generation marketing agencies) | /blog/client-onboarding-automation-marketing-agencies/ (anchor: client onboarding automation marketing agencies) | /blog/invoice-follow-up-automation-marketing-agencies/ (anchor: invoice follow up automation marketing agencies) | /blog/quote-follow-up-automation-marketing-agencies/ (anchor: quote follow up automation marketing agencies) | /blog/internal-ai-assistant-marketing-agencies/ (anchor: internal ai assistant marketing agencies) | /blog/crm-automation-for-marketing-agencies/ (anchor: crm automation for marketing agencies) | /blog/ai-automation-mistakes-marketing-agencies/ (anchor: ai automation mistakes marketing agencies) | /blog/marketing-agencies-software-stack-uae/ (anchor: marketing agencies software stack uae) | /blog/ai-automation-cost-marketing-agencies/ (anchor: ai automation cost marketing agencies)","6","How Marketing Agencies in the UAE Qualify Leads Automatically (and Book the Good Ones) | How Marketing Agencies Onboard New Clients in Hours Instead of Weeks | Polite, Persistent, Automatic: Payment Chasing for Marketing Agencies Businesses | Quote Follow-Up Automation for Marketing Agencies: Stop Losing Deals to Silence | Five Ways Marketing Agencies Get AI Automation Wrong (and What It Costs Them) | The Software Stack Marketing Agencies in the UAE Actually Run, and How AI Plugs Into It","yes","yes","AI Automation for Marketing Agencies in the UAE: The Complete Guide"
"U1","1","/services/ai-automation","AI Automation Services for UAE Businesses","Cornerstone","1826","4500","2674","48","10","/blog/first-90-days-ai-automation/ (anchor: how to start with ai automation) | /blog/what-to-automate-first/ (anchor: what business processes to automate) | /services/ai-agents/sales (anchor: ai for sales teams) | /services/ai-agents/customer-support (anchor: ai for customer service) | /services/ai-automation/finance/ (anchor: ai for finance teams) | /blog/ai-for-hr/ (anchor: ai for hr) | /services/ai-automation/operations/ (anchor: ai for operations) | /services/ai-automation/procurement/ (anchor: ai for procurement) | /blog/aeo-geo-guide/ (anchor: answer engine optimization) | /blog/ai-change-management/ (anchor: ai change management for employees)","2","AI for Procurement and Supplier Management | Getting Your Business Cited by ChatGPT, Perplexity and AI Overviews (AEO/GEO)","yes","yes","AI Automation in the UAE: The Complete Guide for Business Owners"
"U1","2","/services/ai-agents","AI Agents & Agentic Systems for UAE Businesses","Cornerstone","2256","4500","2244","61","11","/blog/ai-agents-vs-chatbots-vs-rpa/ (anchor: ai agents vs chatbots) | /blog/multi-agent-systems/ (anchor: multi agent systems business) | /blog/rag-guide/ (anchor: rag for business) | /services/ai-strategy/data-readiness/ (anchor: data readiness for ai) | /services/prompt-engineering (anchor: prompt engineering uae) | /services/ai-model-finetuning (anchor: ai model fine tuning) | /blog/gpt-vs-claude-vs-gemini-business/ (anchor: gpt vs claude vs gemini business) | /blog/open-source-vs-closed-llm-business/ (anchor: open source vs closed llm business) | /blog/jais-vs-falcon-arabic-llm/ (anchor: jais vs falcon arabic llm) | /blog/cheapest-llm-for-chatbots/ (anchor: cheapest llm for chatbots) | /blog/llm-model-routing-cost/ (anchor: llm model routing cost)","9","AI Agents vs Chatbots vs RPA vs Workflow Automation: What You Actually Need | Is Your Data Ready for AI? The Readiness Audit to Run Before You Spend a Dirham | Prompt Engineering & Optimization for UAE Businesses | AI Model Fine-Tuning for UAE Businesses | GPT vs Claude vs Gemini for Business Agents in 2026 | Open Source vs Closed Models for Business AI: The Real Trade-Offs | Jais vs Falcon vs GPT for Arabic: Which Model Should Power Your Agent | Which LLM Is Cheapest for High-Volume Customer Conversations? | Model Routing: Using a Cheap Model for 80% of Messages","yes","yes","AI Agents for Business: What They Are, What They Cost and What They Actually Do"
"U1","3","/services/ai-agents/vs-agentic-ai","AI Agents vs. Agentic AI: What’s the Difference","Pillar","1831","2800","969","48","13","/blog/ai-agents-vs-chatbots-vs-rpa/ (anchor: ai agents vs chatbots) | /blog/multi-agent-systems/ (anchor: multi agent systems business) | /blog/rag-guide/ (anchor: rag for business) | /blog/what-is-an-ai-agent/ (anchor: what is an ai agent) | /blog/agentic-ai-vs-generative-ai/ (anchor: agentic ai vs generative ai) | /blog/how-do-ai-agents-work/ (anchor: how do ai agents work) | /blog/ai-agent-tools-and-memory/ (anchor: ai agent tools and memory) | /blog/ai-agent-frameworks-compared/ (anchor: ai agent frameworks compared) | /blog/mcp-vs-a2a/ (anchor: mcp vs a2a) | /blog/ai-agent-autonomy-levels/ (anchor: ai agent autonomy levels) | /blog/ai-employee-meaning/ (anchor: ai employee meaning) | /blog/ai-glossary-for-business/ (anchor: ai glossary for business) | /blog/human-in-the-loop-ai/ (anchor: human in the loop ai)","7","Agentic AI vs Generative AI: The Difference That Changes Your Budget | Tools, Memory and Context: The Three Things That Make an Agent Useful | AI Agent Frameworks Compared: LangGraph, CrewAI, AutoGen and Plain Code | Autonomy Levels: How Much Should Your AI Agent Be Allowed to Decide? | Why 'AI Employee' Is a Sales Word, and What You Are Actually Buying | Digital Workers vs AI Agents vs Copilots: A Glossary for Buyers | The Human-in-the-Loop Question: Where People Stay in the Workflow","yes","yes","Agentic AI Explained for UAE Business Leaders (Without the Jargon)"
"U1","4","/services/ai-agents/voice-agents","AI Voice Agents for UAE Businesses","Cornerstone","1838","4500","2662","47","4","/services/ai-agents/receptionist/ (anchor: ai receptionist) | /blog/outbound-voice-ai/ (anchor: outbound ai calling) | /blog/voice-ai-stack/ (anchor: how ai voice agents work) | /blog/voice-platform-comparison/ (anchor: best ai voice platform)","3","The AI Receptionist: Answering Every Call Without Hiring Anyone | Outbound AI Calling: Where It Works, Where It Backfires, and the UAE Rules | Voice AI Platforms Compared: Vapi, Retell, Bland, ElevenLabs and Building Your Own","yes","yes","AI Voice Agents: The Complete Guide to Phone Automation for Gulf Businesses"
"U1","5","/services/ai-automation/tools/n8n","n8n Automation Agency & Consultants in Dubai","Pillar","2151","2800","649","52","11","/blog/workflow-automation/ (anchor: business workflow automation) | /blog/integrations-uae-systems/ (anchor: ai integration with erp uae) | /blog/document-automation/ (anchor: ai document automation) | /blog/automation-platform-comparison/ (anchor: n8n vs make vs zapier) | /blog/self-host-n8n-uae/ (anchor: self host n8n uae) | /blog/n8n-ai-agent-node/ (anchor: n8n ai agent node) | /blog/n8n-error-handling/ (anchor: n8n error handling) | /blog/n8n-vs-custom-code/ (anchor: n8n vs custom code) | /blog/n8n-workflow-examples-business/ (anchor: n8n workflow examples business) | /blog/n8n-security-best-practices/ (anchor: n8n security best practices) | /blog/scaling-n8n-production/ (anchor: scaling n8n production)","3","Ten n8n Workflows Every UAE SME Should Have Running | Securing a Self-Hosted Automation Server: Credentials, Access and Backups | Scaling n8n: Queue Mode, Workers and What Breaks at Volume","yes","yes","n8n for Business Automation: The Practical Guide (Self-Hosted in the UAE)"
